Cities;Latitude (generated);Longitude (generated)
Yalova;40,6556;29,275
Van;38,5019;43,4167
Tekirdag;40,9833;27,5167
Sirnak;37,52;42,45
Siirt;37,8417;41,9458
Sanliurfa;37,1583;38,7917
Sakarya;40,6972;30,4567
Mus;38,75;41,5
Mugla;37,2167;28,3667
Mardin;37,32;40,72
Manisa;38,6333;27,4167
Kocaeli;40,82;29,92
Kirklareli;41,7347;27,2253
Kilis;36,7167;37,1167
Kars;40,6069;43,0931
Izmir;38,4333;27,15
Istanbul;41,157;28,8096
Igdir;39,92;44,04
Hakkari;37,5744;43,7408
Erzurum;39,9097;41,2756
Edirne;41,6781;26,5594
Düzce;40,8417;31,1583
Diyarbakir;37,9108;40,2367
Denizli;37,7731;29,0878
Canakkale;40,15;26,4
Bursa;40,1833;29,0667
Bitlis;38,4;42,1167
Bingol;38,8861;40,5017
Bilecik;40,1431;29,9792
Bayburt;40,2546;40,226
Batman;37,8833;41,1333
Balikesir;39,6511;27,8842
Aydin;37,8481;27,8453
Ardahan;41,1167;42,7
Ankara;39,8667;32,8667
Agri;39,72;43,05
